Medium_Series,Medium,YYMMDD,FSClogmed,FSCupr,FSClwr
E,E01,20191120,3.4841260909744975,3.5841260909744976,3.3841260909744975
E,E01,20191225,3.6302142250988374,3.7302142250988375,3.5302142250988373
E,E02,20191120,3.4462232899660297,3.5462232899660298,3.3462232899660296
E,E02,20191225,3.5446235833959547,3.644623583395955,3.4446235833959546
E,E03,20191121,3.167896032851686,3.267896032851686,3.067896032851686
E,E03,20191226,3.122202794506355,3.222202794506355,3.022202794506355
E,E04,20191121,3.320216949402308,3.4202169494023082,3.220216949402308
E,E04,20191226,3.2676878970391963,3.3676878970391964,3.167687897039196
E,E05,20191122,3.3748619655229706,3.4748619655229707,3.2748619655229705
E,E05,20191227,3.290297347674908,3.390297347674908,3.1902973476749077
E,E06,20191122,3.4001440914756498,3.50014409147565,3.3001440914756497
E,E06,20191227,3.303615038765046,3.403615038765046,3.203615038765046
E,E08,20191122,3.379860055655754,3.479860055655754,3.279860055655754
E,E09,20191120,3.1486828468383496,3.2486828468383497,3.0486828468383496
E,E09,20191225,3.1882308092145384,3.2882308092145385,3.0882308092145383
E,E10,20191120,3.0940027025309393,3.1940027025309394,2.9940027025309393
E,E10,20191225,3.2144623643255565,3.3144623643255566,3.1144623643255565
F,F01,20200304,3.4753835028966495,3.5753835028966496,3.3753835028966495
F,F01,20200311,3.8289407666158257,3.928940766615826,3.7289407666158256
F,F02,20200304,3.384625774484151,3.484625774484151,3.2846257744841507
F,F02,20200311,3.547528576459782,3.647528576459782,3.447528576459782
F,F03,20200305,3.0891771691368626,3.1891771691368627,2.9891771691368625
F,F03,20200312,3.1088287772858085,3.2088287772858086,3.0088287772858084
F,F04,20200305,3.2134221258860416,3.3134221258860417,3.1134221258860415
F,F04,20200312,3.214722027002077,3.314722027002077,3.114722027002077
F,F05,20200306,3.2129010870504255,3.3129010870504256,3.1129010870504255
F,F05,20200313,3.225996379675187,3.3259963796751872,3.125996379675187
F,F06,20200306,3.2275113631874444,3.3275113631874444,3.1275113631874443
F,F06,20200313,3.234015890119955,3.334015890119955,3.134015890119955
F,F08,20200306,3.265614872393249,3.365614872393249,3.165614872393249
F,F08,20200313,3.5271528233874982,3.6271528233874983,3.427152823387498
F,F09,20200304,3.145650074585379,3.245650074585379,3.045650074585379
F,F09,20200311,3.1684739248967224,3.2684739248967225,3.0684739248967223
F,F10,20200304,3.1088287772858085,3.2088287772858086,3.0088287772858084
F,F10,20200311,3.1931691486085856,3.2931691486085857,3.0931691486085855
G,G01,20191127,3.612194531017616,3.712194531017616,3.5121945310176157
G,G01,20200108,3.459425657347573,3.559425657347573,3.3594256573475727
G,G02,20191127,3.3902071648008434,3.4902071648008435,3.2902071648008433
G,G02,20200108,3.5260134317955933,3.6260134317955934,3.4260134317955933
G,G03,20191128,3.1471690891311144,3.2471690891311145,3.0471690891311143
G,G03,20200109,3.0957132074186218,3.195713207418622,2.9957132074186217
G,G04,20191128,3.26952229290434,3.3695222929043402,3.16952229290434
G,G04,20200109,3.1871257212104687,3.2871257212104688,3.0871257212104686
G,G05,20191129,3.2841463730878595,3.3841463730878596,3.1841463730878594
G,G05,20200110,3.179873370290751,3.279873370290751,3.079873370290751
G,G06,20191129,3.2876718797395683,3.3876718797395684,3.1876718797395682
G,G06,20200110,3.2092361409441374,3.3092361409441375,3.1092361409441374
G,G08,20191129,3.1868490179003013,3.2868490179003014,3.086849017900301
G,G08,20200110,3.1311051699337877,3.231105169933788,3.0311051699337876
G,G09,20191127,3.295716615272734,3.3957166152727343,3.195716615272734
G,G09,20200108,3.4736708690357556,3.5736708690357557,3.3736708690357555
G,G10,20191127,3.219883037635787,3.3198830376357873,3.119883037635787
G,G10,20200108,3.52614017507105,3.62614017507105,3.42614017507105
